z,EXP_FAC,MU_SH0ES,MU_SH0ES_ERR,D_L,D_L MAX,D_L MIN,SD,cz
0.0133,0.9869,33.9247,0.3046,60.9453,70.1231,52.9686,8.5772,3987.2336
0.0138,0.9864,33.797,0.2779,57.4645,65.3087,50.5626,7.3731,4137.1296
0.0138,0.9864,33.7683,0.2328,56.71,63.1271,50.9453,6.0909,4137.1296
0.0138,0.9864,33.772,0.2358,56.8068,63.3215,50.9623,6.1796,4137.1296
0.0138,0.9864,33.7649,0.2888,56.6213,64.6753,49.5703,7.5525,4137.1296
0.0139,0.9863,33.6741,0.3454,54.3025,63.6639,46.3177,8.6731,4167.1088
0.0139,0.9863,33.6968,0.2335,54.8732,61.1035,49.2781,5.9127,4167.1088
0.0139,0.9863,33.8053,0.2888,57.6846,65.8902,50.5009,7.6946,4167.1088
0.0139,0.9863,33.6651,0.2962,54.0779,61.9814,47.1822,7.3996,4167.1088
0.0141,0.9861,33.8206,0.2509,58.0925,65.2071,51.7542,6.7264,4227.0672
0.0142,0.986,33.8444,0.2655,58.7327,66.3709,51.9735,7.1987,4257.0464
0.0144,0.9858,34.0187,0.3072,63.6414,73.3126,55.246,9.0333,4317.0048
0.0144,0.9858,34.0249,0.3523,63.8234,75.0667,54.2641,10.4013,4317.0048
0.0144,0.9858,34.3366,0.3707,73.675,87.3903,62.1122,12.639,4317.0048
0.0144,0.9858,34.1781,0.3969,68.4889,82.2246,57.0477,12.5884,4317.0048
0.0144,0.9858,34.252,0.3972,70.8598,85.0838,59.0137,13.0351,4317.0048
0.0145,0.9857,33.9078,0.2405,60.4728,67.5559,54.1324,6.7117,4346.984
0.0145,0.9857,34.1727,0.365,68.3188,80.825,57.7476,11.5387,4346.984
0.0145,0.9857,33.7526,0.2163,56.3015,62.1985,50.9636,5.6175,4346.984
0.0146,0.9856,33.8826,0.2493,59.7751,67.0476,53.2914,6.8781,4376.9632
0.0146,0.9856,33.9253,0.2439,60.9621,68.2096,54.4847,6.8625,4376.9632
0.0146,0.9856,33.7553,0.3905,56.3716,67.4778,47.0933,10.1923,4376.9632
0.0146,0.9856,33.7189,0.3928,55.4345,66.4269,46.2611,10.0829,4376.9632
0.0147,0.9855,33.8916,0.2407,60.0233,67.0593,53.7256,6.6668,4406.9424
0.0147,0.9855,33.7894,0.3974,57.2638,68.7623,47.6881,10.5371,4406.9424
0.0148,0.9854,34.0109,0.2702,63.4132,71.8165,55.9932,7.9116,4436.9216
0.0149,0.9853,34.1902,0.3727,68.8716,81.7664,58.0103,11.878,4466.9008
0.0149,0.9853,33.8524,0.2776,58.9495,66.9872,51.8762,7.5555,4466.9008
0.015,0.9852,33.974,0.2296,62.3448,69.2967,56.0902,6.6033,4496.88
0.015,0.9852,33.9261,0.2317,60.9846,67.8518,54.8123,6.5197,4496.88
0.0152,0.9851,33.8877,0.295,59.9156,68.6336,52.305,8.1643,4556.8384
0.0152,0.985,34.1793,0.2668,68.5267,77.4844,60.6047,8.4398,4556.8384
0.0153,0.985,33.7706,0.3022,56.7701,65.2466,49.3949,7.9259,4586.8176
0.0153,0.9849,34.0334,0.3443,64.0737,75.0829,54.6788,10.202,4586.8176
0.0154,0.9848,34.3426,0.3729,73.8788,87.7198,62.2218,12.749,4616.7968
0.0154,0.9848,34.0744,0.3149,65.295,75.4836,56.4817,9.5009,4616.7968
0.0155,0.9848,34.0331,0.2265,64.0649,71.1071,57.7201,6.6935,4646.776
0.0155,0.9847,34.2732,0.3404,71.555,83.6974,61.1742,11.2616,4646.776
0.0155,0.9847,34.2581,0.2725,71.0591,80.5611,62.6779,8.9416,4646.776
0.0155,0.9847,34.2112,0.2581,69.5409,78.3167,61.7484,8.2841,4646.776
0.0155,0.9847,33.9994,0.2863,63.0783,71.9688,55.2861,8.3413,4646.776
0.0155,0.9847,33.8852,0.3139,59.8467,69.1554,51.7909,8.6823,4646.776
0.0156,0.9847,33.7902,0.2906,57.2849,65.487,50.11,7.6885,4676.7552
0.0156,0.9847,33.8072,0.2904,57.7351,65.9962,50.5081,7.7441,4676.7552
0.0156,0.9846,34.1732,0.2644,68.3345,77.1814,60.5017,8.3399,4676.7552
0.0156,0.9846,34.1302,0.3343,66.9946,78.1451,57.4352,10.355,4676.7552
0.0157,0.9846,34.3317,0.2787,73.5089,83.5762,64.6543,9.4609,4706.7344
0.0158,0.9845,34.1657,0.2869,68.0989,77.717,59.6711,9.023,4736.7136
0.0158,0.9845,33.9986,0.2199,63.0551,69.7762,56.9813,6.3974,4736.7136
0.0158,0.9845,34.0697,0.2904,65.1538,74.476,56.9985,8.7387,4736.7136
0.0158,0.9844,33.9926,0.2393,62.8811,70.2066,56.3199,6.9433,4736.7136
0.0158,0.9844,33.9004,0.219,60.2671,66.6621,54.4855,6.0883,4736.7136
0.0159,0.9844,34.3916,0.2703,75.5649,85.5831,66.7193,9.4319,4766.6928
0.0159,0.9844,34.0287,0.2248,63.9352,70.9096,57.6468,6.6314,4766.6928
0.0159,0.9843,34.1663,0.2429,68.1177,76.1796,60.909,7.6353,4766.6928
0.0159,0.9843,34.1323,0.2095,67.0595,73.8506,60.8928,6.4789,4766.6928
0.0159,0.9843,34.0329,0.2725,64.059,72.6243,56.5038,8.0603,4766.6928
0.016,0.9842,34.1062,0.2816,66.2583,75.4321,58.2001,8.616,4796.672
0.0165,0.9837,34.4137,0.3464,76.3379,89.5394,65.0828,12.2283,4946.568
0.0165,0.9837,33.9999,0.3347,63.0928,73.6081,54.0797,9.7642,4946.568
0.0166,0.9837,34.1608,0.2181,67.9454,75.1248,61.4521,6.8364,4976.5472
0.0166,0.9837,33.9726,0.4153,62.3046,75.4355,51.4593,11.9881,4976.5472
0.0166,0.9837,34.2793,0.2619,71.7563,80.9549,63.6029,8.676,4976.5472
0.0167,0.9836,34.3408,0.198,73.8176,80.8657,67.3838,6.741,5006.5264
0.0167,0.9836,33.8985,0.2454,60.2143,67.4181,53.7803,6.8189,5006.5264
0.0168,0.9835,34.1679,0.2465,68.1679,76.3616,60.8534,7.7541,5036.5056
0.0168,0.9835,34.4649,0.3583,78.1592,92.1818,66.2696,12.9561,5036.5056
0.0168,0.9835,34.5341,0.3416,80.6901,94.4374,68.944,12.7467,5036.5056
0.0168,0.9835,33.9673,0.2844,62.1527,70.8503,54.5228,8.1637,5036.5056
0.0169,0.9834,33.841,0.2893,58.6408,66.9981,51.326,7.836,5066.4848
0.0169,0.9834,33.8975,0.2646,60.1866,67.9849,53.2829,7.351,5066.4848
0.0169,0.9834,34.4894,0.3103,79.046,91.1891,68.52,11.3345,5066.4848
0.017,0.9833,34.3409,0.2284,73.821,82.0082,66.4512,7.7785,5096.464
0.017,0.9833,34.0755,0.2978,65.3281,74.9313,56.9557,8.9878,5096.464
0.0171,0.9832,34.1973,0.2145,69.0971,76.2698,62.599,6.8354,5126.4432
0.0172,0.9831,34.022,0.309,63.7382,73.4851,55.2842,9.1004,5156.4224
0.0172,0.9831,34.2003,0.3253,69.1927,80.3759,59.5654,10.4052,5156.4224
0.0172,0.9831,34.6084,0.2198,83.4988,92.3938,75.4601,8.4669,5156.4224
0.0173,0.983,34.1436,0.2827,67.4093,76.7817,59.181,8.8004,5186.4016
0.0173,0.983,34.1517,0.2571,67.6612,76.1671,60.1053,8.0309,5186.4016
0.0173,0.983,34.4009,0.2217,75.8892,84.0465,68.5236,7.7614,5186.4016
0.0173,0.983,34.5101,0.2312,79.8031,88.7703,71.7418,8.5143,5186.4016
0.0173,0.983,34.361,0.2203,74.5075,82.4626,67.3198,7.5714,5186.4016
0.0174,0.9829,34.31,0.2636,72.778,82.1696,64.4597,8.8549,5216.3808
0.0174,0.9829,34.2669,0.2624,71.3477,80.5128,63.2259,8.6435,5216.3808
0.0174,0.9829,33.7799,0.3306,57.0138,66.3906,48.9614,8.7146,5216.3808
0.0175,0.9828,34.3228,0.2002,73.2082,80.2802,66.7593,6.7604,5246.36
0.0175,0.9828,34.3133,0.1978,72.8887,79.8406,66.542,6.6493,5246.36
0.0175,0.9828,34.1465,0.2314,67.4994,75.0902,60.676,7.2071,5246.36
0.0178,0.9825,34.2221,0.3204,69.8908,81.0032,60.3028,10.3502,5336.2976
0.0178,0.9825,34.3364,0.2101,73.6682,81.1527,66.874,7.1394,5336.2976
0.0178,0.9825,34.2464,0.2134,70.6773,77.9768,64.0611,6.9579,5336.2976
0.0178,0.9825,34.2939,0.2466,72.2404,80.9283,64.4851,8.2216,5336.2976
0.0178,0.9825,34.2418,0.2229,70.5277,78.1509,63.6482,7.2514,5336.2976
0.0179,0.9824,34.2975,0.3189,72.3602,83.8074,62.4766,10.6654,5366.2768
0.018,0.9823,34.2661,0.2342,71.3214,79.4442,64.0292,7.7075,5396.256
0.0181,0.9822,34.6078,0.2015,83.4757,91.5913,76.0792,7.756,5426.2352
